iter	Passed	Remaining
225	497	1705
226	499	1700
227	500	1695
228	502	1691
229	503	1686
230	505	1682
231	506	1678
232	508	1674
233	510	1670
234	512	1666
235	513	1662
236	515	1659
237	516	1655
238	518	1650
239	520	1646
240	521	1642
241	523	1639
242	525	1635
243	526	1632
244	528	1628
245	529	1624
246	531	1620
247	533	1616
248	534	1612
249	536	1608
250	537	1604
251	539	1601
252	541	1597
253	543	1594
254	544	1591
255	546	1587
256	547	1584
257	549	1580
258	550	1576
259	552	1572
260	554	1568
261	555	1565
262	557	1562
263	559	1559
264	561	1556
265	562	1552
266	564	1549
267	565	1545
268	567	1541
269	568	1538
270	570	1534
271	572	1532
272	574	1529
273	576	1526
274	577	1523
275	579	1519
276	581	1516
277	582	1512
278	584	1509
279	585	1506
280	587	1503
281	589	1501
282	591	1498
283	593	1495
284	594	1491
285	596	1488
286	597	1485
287	599	1481
288	600	1478
289	602	1475
290	604	1472
291	605	1469
292	607	1465
293	609	1462
294	610	1459
295	612	1456
296	613	1452
297	615	1449
298	616	1445
299	618	1442
300	620	1440
301	621	1437
302	623	1433
303	624	1430
304	626	1427
305	627	1424
306	629	1420
307	631	1417
308	632	1414
309	634	1412
310	636	1409
311	637	1406
312	639	1403
313	640	1400
314	642	1397
315	643	1393
316	645	1390
317	647	1388
318	648	1385
319	650	1382
320	652	1380
321	653	1377
322	655	1374
323	657	1371
324	658	1368
325	660	1364
326	661	1361
327	663	1359
328	664	1356
329	666	1353
330	668	1350
331	669	1347
332	671	1344
333	673	1342
334	674	1339
335	676	1336
336	677	1333
337	679	1330
338	681	1328
339	682	1325
340	684	1322
341	685	1319
342	687	1316
343	689	1313
344	690	1310
345	692	1308
346	693	1305
347	695	1302
348	696	1300
349	698	1297
350	700	1294
351	701	1292
352	703	1289
353	704	1286
354	706	1283
355	708	1280
356	709	1278
357	711	1275
358	712	1272
359	714	1270
360	716	1267
361	717	1265
362	719	1262
363	720	1259
364	722	1256
365	723	1253
366	725	1251
367	727	1248
368	728	1245
369	730	1243
370	731	1240
371	733	1238
372	735	1235
373	736	1232
374	738	1230
375	739	1227
376	741	1225
377	742	1222
378	744	1220
379	746	1217
380	747	1215
381	749	1212
382	751	1209
383	752	1207
384	754	1204
385	755	1202
386	757	1199
387	758	1197
388	760	1194
389	762	1192
390	763	1189
391	765	1187
392	766	1184
393	768	1181
394	770	1179
395	771	1176
396	773	1174
397	774	1171
398	776	1169
399	778	1167
400	779	1164
401	781	1162
402	782	1159
403	784	1157
404	786	1155
405	788	1153
406	789	1150
407	791	1148
408	793	1146
409	794	1143
410	796	1141
411	797	1138
412	799	1136
413	801	1134
414	802	1131
415	804	1128
416	805	1126
417	807	1124
418	809	1122
419	810	1119
420	812	1117
421	814	1115
422	815	1112
423	817	1110
424	818	1108
425	820	1105
426	821	1103
427	823	1100
428	825	1098
429	826	1096
430	828	1093
431	830	1091
432	831	1089
433	833	1086
434	834	1084
435	836	1081
436	837	1079
437	839	1077
438	841	1075
439	842	1072
440	844	1070
441	846	1068
442	847	1065
443	849	1063
444	850	1061
445	852	1058
446	853	1056
447	855	1054
448	857	1052
449	858	1049
450	860	1047
451	862	1045
452	863	1042
453	865	1040
454	866	1038
